aimag,station_nam,index,lat,lon,hhh
Говь-Алтай,Баян-Уул (Ус судлалын харуул),219,47.01,95.12,
Дорнод,Чойбалсан (Ус судлалын харуул),287,48.07,114.53,
Дорнод,Баян-Уул (Ус судлалын харуул),311,49.25,112.75,
Дорнод,Халхгол (Ус судлалын харуул),313,47.63,118.61,
Дорнод,Дашбалбар (Ус судлалын харуул),315,49.53,114.41,
Дорнод,Чулуунхороот (Ус судлалын харуул),317,49.85,115.35,
Дорнод,Гурванзагал (Ус судлалын харуул),319,48.51,115.65,
Дорнод,Матад (Ус судлалын харуул),321,47.15,115.65,
Дорнод,Цагаан-Овоо (Ус судлалын харуул),323,48.68,113.18,
Завхан,Улиастай (Ус судлалын харуул),256,47.74,96.84,
Завхан,Тэлмэн (Ус судлалын харуул),411,48.65,97.58,
Завхан,Тосонцэнгэл (Ус судлалын харуул),413,48.75,98.28,
Завхан,Баянхайрхан (Ус судлалын харуул),415,49.25,95.12,
Завхан,Нөмрөг (Ус судлалын харуул),417,48.85,96.81,
Завхан,Сонгино (Ус судлалын харуул),419,48.91,95.75,
Завхан,Цэцэн-Уул (Ус судлалын харуул),421,48.51,95.41,
Завхан,Эрдэнэхайрхан (Ус судлалын харуул),423,48.15,95.48,
Завхан,Яруу (Ус судлалын харуул),425,48.11,96.75,
Завхан,Алдархаан (Ус судлалын харуул),427,47.65,96.65,
Завхан,Идэр (Ус судлалын харуул),429,48.21,97.35,
Өвөрхангай,Арвайхээр (Ус судлалын харуул),292,46.26,102.78,
Өвөрхангай,Хархорин (Ус судлалын харуул),511,47.18,102.81,
Өвөрхангай,Бат-Өлзий (Ус судлалын харуул),513,46.81,101.85,
Өвөрхангай,Уянга (Ус судлалын харуул),515,46.45,102.25,
Өвөрхангай,Хужирт (Ус судлалын харуул),517,46.91,102.78,
Өвөрхангай,Нарийнтээл (Ус судлалын харуул),519,45.85,101.45,
Сэлэнгэ,Сүхбаатар (Ус судлалын харуул),237,50.23,106.21,
Сэлэнгэ,Алтанбулаг (Ус судлалын харуул),611,50.31,106.51,
Сэлэнгэ,Ерөө (Ус судлалын харуул),613,49.81,106.71,
Сэлэнгэ,Зүүнбүрэн (Ус судлалын харуул),615,50.11,106.12,
Сэлэнгэ,Орхонтуул (Ус судлалын харуул),617,48.91,105.25,
Сэлэнгэ,Баянгол (Ус судлалын харуул),619,48.91,106.11,
Сэлэнгэ,Сант (Ус судлалын харуул),621,49.25,105.35,
Сэлэнгэ,Түшиг (Ус судлалын харуул),623,50.25,105.11,
Сэлэнгэ,Цагааннуур (Ус судлалын харуул),625,50.05,105.45,
Сэлэнгэ,Жавхлант (Ус судлалын харуул),627,49.61,106.31,
Сэлэнгэ,Баруунбүрэн (Ус судлалын харуул),629,49.15,105.15,
Хөвсгөл,Мөрөн (Ус судлалын харуул),231,49.63,100.16,
Хөвсгөл,Хатгал (Ус судлалын харуул),215,50.41,100.15,
Хөвсгөл,Цагааннуур (Ус судлалын харуул),211,51.36,99.35,
Хөвсгөл,Ренчинлхүмбэ (Ус судлалын харуул),711,51.11,99.65,
Хөвсгөл,Цагаан-Уул (Ус судлалын харуул),713,49.51,98.81,
Хөвсгөл,Чандмань-Өндөр (Ус судлалын харуул),715,50.55,100.95,
Хөвсгөл,Эрдэнэбулган (Ус судлалын харуул),717,50.61,101.51,
Хөвсгөл,Алаг-Эрдэнэ (Ус судлалын харуул),719,49.95,100.11,
Хөвсгөл,Арбулаг (Ус судлалын харуул),721,50.01,99.65,
Хөвсгөл,Баянзүрх (Ус судлалын харуул),723,50.15,98.95,
Хөвсгөл,Бүрэнтогтох (Ус судлалын харуул),725,49.61,99.35,
Хөвсгөл,Их-Уул (Ус судлалын харуул),727,49.45,101.45,
Хөвсгөл,Рашаант (Ус судлалын харуул),729,49.05,101.65,
Хөвсгөл,Тариалан (Ус судлалын харуул),731,49.61,102.01,
Хөвсгөл,Түнэл (Ус судлалын харуул),733,49.81,100.51,
Хөвсгөл,Улаан-Уул (Ус судлалын харуул),735,50.65,99.25,
Хөвсгөл,Ханх (Ус судлалын харуул),737,51.51,100.65,
Ховд,Ховд (Ус судлалын харуул),265,48.01,91.64,
Ховд,Булган (Ус судлалын харуул),266,46.09,91.53,
Ховд,Мөнххайрхан (Ус судлалын харуул),811,47.01,91.85,
Ховд,Дуут (Ус судлалын харуул),813,47.51,91.45,
Ховд,Эрдэнэбүрэн (Ус судлалын харуул),815,48.41,91.25,
Ховд,Чандмань (Ус судлалын харуул),817,47.65,92.81,
Ховд,Мянгад (Ус судлалын харуул),819,48.25,92.01,
Увс,Улаангом (Ус судлалын харуул),214,50.0,92.05,
Увс,Баруунтуруун (Ус судлалын харуул),911,49.65,94.41,
Увс,Тэс (Ус судлалын харуул),913,50.45,93.61,
Увс,Зүүнговь (Ус судлалын харуул),915,50.11,94.15,
Увс,Сагил (Ус судлалын харуул),917,50.21,92.05,
Увс,Өлгий (Ус судлалын харуул),919,49.25,92.11,
Увс,Хяргас (Ус судлалын харуул),921,49.35,93.65,
Увс,Наранбулаг (Ус судлалын харуул),923,49.51,93.01,
Увс,Өмнөговь (Ус судлалын харуул),925,49.11,91.75,
Увс,Ховд сум (Ус судлалын харуул),927,49.15,91.21,
Увс,Бөхмөрөн (Ус судлалын харуул),929,49.65,90.25,
Төв,Лүн (Ус судлалын харуул),282,47.85,105.19,
Төв,Заамар (Ус судлалын харуул),011,48.21,104.35,
Төв,Алтанбулаг (Ус судлалын харуул),013,47.71,106.15,
Төв,Эрдэнэ сум (Ус судлалын харуул),015,47.81,107.51,
Төв,Борнуур (Ус судлалын харуул),017,48.41,106.25,
Төв,Батсүмбэр (Ус судлалын харуул),019,48.45,106.81,
Улаанбаатар,Улаанбаатар (Ус судлалын харуул),294,47.92,106.92,
Улаанбаатар,Тэрэлж (Ус судлалын харуул),111,47.98,107.45,
Улаанбаатар,Налайх (Ус судлалын харуул),113,47.78,107.23,
Улаанбаатар,Сонгино (Ус судлалын харуул),115,47.81,106.61,
Улаанбаатар,Туул (Ус судлалын харуул),117,47.91,106.85,
Улаанбаатар,Гачуурт (Ус судлалын харуул),119,47.95,107.15,
Хэнтий,Өндөрхаан (Ус судлалын харуул),211,47.31,110.65,
Хэнтий,Биндэр (Ус судлалын харуул),213,48.58,110.15,
Хэнтий,Дадал (Ус судлалын харуул),215,49.01,111.61,
Хэнтий,Батширээт (Ус судлалын харуул),217,48.51,110.11,
Хэнтий,Баян-Адарга (Ус судлалын харуул),219,48.55,111.05,
Дундговь,Мандалговь (Ус судлалын харуул),311,45.75,106.25,
Дундговь,Адаацаг (Ус судлалын харуул),313,46.35,105.51,
Дархан,Дархан (Ус судлалын харуул),411,49.48,105.95,
Дархан,Хараа (Ус судлалын харуул),413,49.31,106.15,
Сүхбаатар,Баруун-Урт (Ус судлалын харуул),236,46.68,113.28,
